,uuid,axis_x,axis_y,axis_z,origin_x,origin_y,origin_z,fraction
0,92fe59e7-eae0-4ba9-bf74-22a82f2c2c83,1,0,0,0.0,0.0,0.0,0.8458833759
1,0dd8b940-6b35-4ed5-a981-ce05e0734b4f,0,0,1,-2.1866824051,7.4799701691,-2.5,0.8448643198
2,9691095c-d562-4bda-813f-7dbe7398d686,0,1,0,0.0,0.0,0.0,1.0
3,66102ac6-37a3-45b7-97dd-56d02b6ac651,0,0,1,0.0,0.0,0.0,0.8821019447
4,2c9d084c-dd69-4aff-8b85-a50d0f657372,1,0,0,0.0,0.0,0.0,0.9367016721
5,08808a1c-8284-4669-b9a4-101ccba63321,0,1,0,16.0714285714,0.0,42.5014302871,0.3262007133
6,31650884-4f6c-45af-936c-9c23e37aa6d9,1,0,0,0.0,-22.5557286739,-19.1350443023,0.5070872818
7,92ef13a8-173c-408c-a454-f841f2870086,0,1,0,2.8267107743,-9.1189994812,-12.9875994101,0.1739796137
8,fbec6b7d-78fb-4283-abca-de31989cf9d6,0,1,0,0.0,0.0,0.0,0.9516053642
9,ed9a1f5d-b8c3-419c-89cc-e20f81ce6c13,0,1,0,35.4562520981,-5.0824453235,14.6468717507,0.7429072036
10,9086afd0-86f4-4a6c-876a-ef3a1f9963c3,0,0,1,600.8400146484,-24.0650629997,725.0,0.4607492727
11,75686e24-4ace-4ff3-91d2-9bbf7b4593b0,1,0,0,8.8751301765,44.0463425706,22.9545451945,0.6460588517
12,5b068c5e-63ed-4489-9217-f1bf4a2a0d1b,0,0,1,10.2631578947,11.5340909091,-5.0,0.3957772228
13,6b031872-73fa-4939-a6c6-1ac12d5a4671,0,1,0,58.6740010071,19.1135005951,-8.6590905623,0.4927040402
14,82481dd0-7cd9-453b-a342-42af2dfae8d5,0,1,0,78.9473684211,-14.1499996185,164.6590909091,0.7458723975
15,6972e73e-8bfd-460e-9fe0-b38e171a3c02,0,0,1,0.0,0.0,0.0,0.4473034406
16,2b265c1b-7607-4ab0-958b-afd72b94b3fe,1,0,0,0.0,248.7814804077,-38.1350836754,0.2027220533
17,81003240-d385-410d-afba-b51127a5c6f0,0,0,1,5.1735691965,4.4783963974,0.400000006,0.357676349
18,96a61176-f726-4408-b0c7-a826013b9f43,0,0,1,278.3417248875,240.1915218647,396.8412132263,0.1992560206
