,uuid,center_x,center_y,center_z,direction_x,direction_y,direction_z,end_closed,end_reachable,facet_count,length,radius
0,66102ac6-37a3-45b7-97dd-56d02b6ac651,-2.782968637e-24,-2.782968637e-24,12.6999998093,2.061621065e-20,5.290784016e-19,-1.0,True,True,0,25.3999996185,6.8000001907
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,0.439999981,2.4999990256,16.7750000954,0.0,0.0,1.0,True,False,168,17.4499998093,4.9499997634
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,0.4400000572,2.5,12.75,-3.04038713e-17,-7.84956837e-18,-1.0,True,False,200,21.5,2.5
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,0.4400000572,2.5,3.3000000715,0.0,0.0,1.0,True,False,200,3.0000002384,3.0
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,31.6517385492,1.9999999993,18.75,0.0,0.0,1.0,True,False,200,21.5,2.4999989897
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,31.6517391672,1.9999999894,5.25,0.0,0.0,-1.0,True,False,200,0.5,4.9999996045
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,63.5599994659,2.0,26.25,0.0,0.0,1.0,True,False,200,0.5,5.0
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,63.5599994659,2.0,12.75,0.0,0.0,-1.0,True,False,200,21.5,2.5
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,63.5599994659,2.0,3.3000000715,0.0,0.0,1.0,True,False,200,3.0000002384,3.0
1,6972e73e-8bfd-460e-9fe0-b38e171a3c02,63.5600004952,1.9999992101,16.7750000954,0.0,0.0,1.0,True,False,168,17.4499998093,4.9500000925
2,9e094ff7-d1c8-4881-a451-4f1be268d3d9,6.658699761e-19,-2.25,1.066658424e-18,2.959410815e-19,-1.0,4.74071541e-19,True,False,216,3.5,13.0000001546
2,9e094ff7-d1c8-4881-a451-4f1be268d3d9,1.31843782e-18,-5.25,-3.080836511e-19,-2.511297662e-19,1.0,5.868135316e-20,True,True,216,0.5,14.75
3,49cf9ac0-40d9-4249-a0a4-d3d6f88adb61,552.3503291064,74.2088925641,14.3645385118,0.1285358173,0.9916934548,-5.84009e-05,True,True,0,0.1937305687,0.1667415916
4,efc127a8-07ed-442c-a72a-29d5707544d9,-121.0828950912,47.0413327774,9.3003997803,0.0,0.0,-1.0,True,True,172,0.5,8.6249998562
5,394273fa-2f32-48e8-966d-abc4acac9344,-50.0000008615,-5e-10,11.8999996185,3.743511876e-22,-4.358692248e-20,1.0,True,True,190,15.7999992371,3.7000005345
